Epoch 4 Loss 1.4554114494208958, Validation Accuracy 14/16
Epoch 4 Loss 2.0140056052981024, Validation Accuracy 14/16
Epoch 4 Loss 0.8297392268649848, Validation Accuracy 15/16
Epoch 4 Loss 0.8979532169251914, Validation Accuracy 15/16
Epoch 4 Loss 0.9733799356030775, Validation Accuracy 15/16
Epoch 4 Loss 1.0176321312495304, Validation Accuracy 15/16
Epoch 4 Loss 1.2641315944823925, Validation Accuracy 15/16
Epoch 4 Loss 1.4070320231749625, Validation Accuracy 16/16
Epoch 4 Loss 0.8864215815071858, Validation Accuracy 16/16
Epoch 4 Loss 0.9014206779787801, Validation Accuracy 16/16
Epoch 4 Loss 1.6364744652812615, Validation Accuracy 14/16
Epoch 4 Loss 1.0901808513472893, Validation Accuracy 15/16
Epoch 4 Loss 1.500628383395763, Validation Accuracy 14/16
Epoch 4 Loss 1.63642953008373, Validation Accuracy 15/16
Epoch 4 Loss 1.55693165382969, Validation Accuracy 13/16
Epoch 4 Loss 1.0733864859565472, Validation Accuracy 15/16
Epoch 4 Loss 1.35671108815909, Validation Accuracy 14/16
Epoch 5 Loss 0.0298132361727583, Validation Accuracy 16/16
Epoch 5 Loss 0.8084440762653843, Validation Accuracy 16/16
Epoch 5 Loss 2.1012199149580026, Validation Accuracy 16/16
Epoch 5 Loss 0.8206690356857499, Validation Accuracy 12/16
Epoch 5 Loss 0.7537330623952128, Validation Accuracy 16/16
Epoch 5 Loss 0.7893874824573663, Validation Accuracy 16/16
Epoch 5 Loss 1.3586432980126368, Validation Accuracy 16/16
Epoch 5 Loss 1.7508486883556955, Validation Accuracy 16/16
Epoch 5 Loss 1.789616954610651, Validation Accuracy 15/16
Epoch 5 Loss 1.0167411202293755, Validation Accuracy 15/16
Epoch 5 Loss 2.1340274165317616, Validation Accuracy 15/16
Epoch 5 Loss 1.4824241321994975, Validation Accuracy 14/16
Epoch 5 Loss 2.2996982414610923, Validation Accuracy 15/16
Epoch 5 Loss 2.074870321174071, Validation Accuracy 16/16
Epoch 5 Loss 2.005012155800022, Validation Accuracy 15/16
Epoch 5 Loss 1.3081121330747998, Validation Accuracy 14/16
Epoch 5 Loss 1.9503158161536072, Validation Accuracy 15/16
Epoch 5 Loss 1.3932208135098163, Validation Accuracy 14/16
Epoch 5 Loss 0.903722563693359, Validation Accuracy 15/16
Epoch 5 Loss 1.3179349905803766, Validation Accuracy 15/16
Epoch 5 Loss 1.2379118886784661, Validation Accuracy 15/16
Epoch 5 Loss 1.1398102486263888, Validation Accuracy 13/16
Epoch 5 Loss 0.8319631651014281, Validation Accuracy 16/16
Epoch 5 Loss 1.2949037820039502, Validation Accuracy 15/16
Epoch 5 Loss 0.8950391781102678, Validation Accuracy 16/16
Epoch 5 Loss 1.1377804448445568, Validation Accuracy 14/16
Epoch 5 Loss 1.3103840846410275, Validation Accuracy 15/16
Epoch 5 Loss 2.1539973309633105, Validation Accuracy 14/16
Epoch 5 Loss 1.5971466571126804, Validation Accuracy 14/16
Epoch 5 Loss 0.9548948368560839, Validation Accuracy 15/16
Epoch 5 Loss 1.2154747091027849, Validation Accuracy 15/16
Epoch 5 Loss 1.2674735932209853, Validation Accuracy 14/16
Epoch 5 Loss 1.5315803766149692, Validation Accuracy 15/16
Epoch 5 Loss 0.9204736161277305, Validation Accuracy 15/16
Epoch 5 Loss 1.27800012251035, Validation Accuracy 13/16
Epoch 5 Loss 1.2605599908842322, Validation Accuracy 15/16
Epoch 5 Loss 0.5714561014706987, Validation Accuracy 13/16
Epoch 5 Loss 0.8639664416186972, Validation Accuracy 14/16
Epoch 5 Loss 1.388753552554791, Validation Accuracy 16/16
Epoch 5 Loss 1.0921793413582317, Validation Accuracy 16/16
Epoch 5 Loss 1.3279306419972252, Validation Accuracy 15/16
Epoch 5 Loss 1.2785755718364071, Validation Accuracy 16/16
Epoch 5 Loss 0.6166153376569276, Validation Accuracy 14/16
Epoch 5 Loss 1.0413011632000648, Validation Accuracy 14/16
Epoch 5 Loss 1.725638801090085, Validation Accuracy 14/16
Epoch 5 Loss 0.7227517488838698, Validation Accuracy 15/16
Epoch 5 Loss 1.694308779925115, Validation Accuracy 15/16
Epoch 5 Loss 2.1511371482498842, Validation Accuracy 13/16
Epoch 5 Loss 0.8883696937997152, Validation Accuracy 15/16
Epoch 5 Loss 0.6178159281843584, Validation Accuracy 16/16
Epoch 5 Loss 1.0687039858688396, Validation Accuracy 16/16
Epoch 5 Loss 1.2439759698352355, Validation Accuracy 15/16
